season,player_name,team,goals,played
2021-i,Miguel Borja,,8,14
2021-i,Agustín Vuletich,,7,11
2021-i,Brayan Moreno,,6,16
2021-i,David Lemos,,6,15
2021-i,Jarlan Barrera,,6,18
2021-i,Kelvin Osorio,,6,18
2021-ii,Harold Preciado,,13,23
2021-ii,Fernando Uribe,,12,23
2021-ii,Jefferson Duque,,10,24
2021-ii,Bayron Garcés,,9,26
2021-ii,Luis González,,7,24
2021-ii,Adrián Ramos,,7,25
2021-ii,Juan Fernando Caicedo,,7,25
2021-ii,Andrés Rentería,,6,15
2021-ii,Larry Angulo,,6,15
2021-ii,Juan David Pérez,,6,19
2022-i,Dayro Moreno,bucaramanga,13,21
2022-i,Luis Carlos Ruiz,cortulua,11,18
2022-i,Miguel Borja,junior,10,17
2022-i,Wilson Morelo,santafe,10,18
2022-i,Luciano Pons,medellin,10,22
2022-i,Leonardo Castro,pereira,9,16
2022-i,Dúvier Riascos,pasto,8,16
2022-i,Jefferson Duque,nacional,8,24
2022-i,Pablo Sabbag,equidad,7,24
2022-i,Andrés Rentería,jaguares,6,13
2022-ii,Leonardo Castro,,15,26
2022-ii,Marco Pérez,,12,26
2022-ii,Jefferson Duque,,11,19
2022-ii,Díber Cambindo,,11,26
2022-ii,Ricardo Márquez,,9,16
2022-ii,Carlos Bacca,,9,20
2022-ii,Dayro Moreno,,9,20
2022-ii,Wilson Morelo,,9,26
2022-ii,Ayron del Valle,,8,18
2022-ii,Jesús Hernández,,8,20
2023-i,Marco Pérez,,13,23
2023-i,Gonzalo Lencina,,9,19
2023-i,Dayro Moreno,,9,20
2023-i,Edwar López,,9,25
2023-i,Díber Cambindo,,8,17
2023-i,Jefferson Duque,,8,21
2023-i,Facundo Suárez,,8,25
2023-i,Isaac Camargo,,7,19
2023-i,Leonardo Castro,,6,16
2023-i,Hugo Rodallega,,6,18
2023-ii,Carlos Bacca,,18,28
2023-ii,Marco Pérez,,15,24
2023-ii,Edwuin Cetré,,15,28
2023-ii,Dayro Moreno,,11,20
2023-ii,Luis Sandoval,,9,21
2023-ii,Diego Herazo,,9,24
2023-ii,Marcus Vinicius,,8,19
2023-ii,Eric Ramírez,,8,20
2023-ii,Adrián Ramos,,8,21
2023-ii,Gustavo Torres,,7,18
2024-i,Carlos Bacca,,12,22
2024-i,Hugo Rodallega,,12,26
2024-i,Dayro Moreno,,11,25
2024-i,Leonardo Castro,,10,14
2024-i,Yeison Guzmán,,10,16
2024-i,Darwin Quintero,,10,22
2024-i,Kevin Viveros,,8,21
2024-i,Daniel Mosquera,,7,26
2024-i,Wilson Morelo,,6,15
2024-i,Rodrigo Holgado,,6,16
2024-ii,Daniel Moreno,,17,24
2024-ii,Dayro Moreno,,10,24
2024-ii,Brayan Gil,,8,18
2024-ii,Leonardo Castro,,8,21
2024-ii,Duván Vergara,,8,22
2024-ii,Carlos Bacca,,8,23
2024-ii,Yeison Guzmán,,8,26
2024-ii,Andrés Román,,7,17
2024-ii,Alfredo Morelos,,7,22
2024-ii,Jeison Quiñónes,,6,16
2025-i,Hugo Rodallega,santafe,16,26
2025-i,Dayro Moreno,caldas,11,26
2025-i,Gonzalo Lencina,tolima,10,24
2025-i,Edwin Cardona,nacional,9,16
2025-i,Alfredo Morelos,nacional,8,23
2025-i,Jairo Molina,chico,7,18
2025-i,Rodrigo Holgado,america,7,19
2025-i,Duván Vergara,america,7,22
2025-i,Leonardo Castro,millonarios,6,10
2025-i,Radamel Falcao,millonarios,6,12
2025-ii,Francisco Fydriszewski,medellin,12,21
2025-ii,Luciano Pons,bucaramanga,12,23
2025-ii,Carlos Lucumí,alianza,10,15
2025-ii,Brayan León,medellin,10,19
2025-ii,Yoshan Valois,pasto,10,19
2025-ii,Alfredo Morelos,nacional,8,23
2025-ii,José Enamorado,junior,8,25
2025-ii,Hugo Rodallega,santafe,7,17
2025-ii,Jefry Zapata,caldas,7,17
2025-ii,Jairo Molina,chico,7,19
2026-i,Andrey Estupiñán,pasto,13,19
2026-i,Luis Muriel,junior,13,23
2026-i,Hugo Rodallega,santafe,12,23
2026-i,Jorge Rivaldo,aguilas,11,19
2026-i,Alfredo Morelos,nacional,11,21
2026-i,Yeison Guzmán,america,10,18
2026-i,Dayro Moreno,caldas,10,21
2026-i,Andrés Arroyo,fortaleza,9,19
2026-i,Rodrigo Contreras,millonarios,8,15
2026-i,Leonardo Castro,millonarios,7,16
2026-ii,Yeison Guzmán,america,6,8
2026-ii,Marlos Moreno,nacional,4,5
2026-ii,John Montaño,medellin,4,6
2026-ii,Alfredo Morelos,nacional,3,5
2026-ii,Andrés Sarmiento,nacional,3,5
2026-ii,Emerson Batalla,bucaramanga,3,6
2026-ii,Jaime Peralta,cucuta,3,6
2026-ii,Dany Rosero,america,3,6
2026-ii,Jefry Zapata,caldas,3,6
2026-ii,Franco Fagúndez,santafe,3,7
